address,nftBalance,holdingSince
0x00e9cb8f13d610a0e63840169adeeb636d6aa02b,4,1764720569
0x01ef776bdb788f927980e0193df74e425f9e3038,1,1755257386
0x028268011cbebec4c5c9666c6a0dfdb2848b230a,8,1769942613
0x03a57672fa3d25e9061042ab2250a9f29133928a,4,1764720569
0x03dae4ac2959ff25971b48f956cea69ab0b11a1b,6,1754992133
0x04a4b4797245517dbddb66cff26d5f4384e079fc,1,1767699721
0x0511e7169f6f499156e5a5d677110e9a3d75c182,1,1755269574
0x052cd88e32d85800dae3bafb666726cfbad231f3,10,1770581600
0x053c5599d445f9c989ffd4539bd345de27ffb8e2,2,1767699721
0x0603c1e3b50ef11e41920448e7aec1ca017f915d,20,1755821060
0x06d43919d190bc63e288480a925bd0ddb987598a,40,1761837950
0x07e5795bae0b4970eb253793f5da5ff2e3906928,5,1760608742
0x083fb239b97b84e7b02da6d49fa9f33539d77a74,2,1755269574
0x08defcfb643d60ccf38862189bf7b0f100813997,1,1755269574
0x09ca9da9c7b5337ea6a5fd002b4f83cdec62b063,4,1764720569
0x0a0d89a53eb0f188b93dcc396d60f9860158ab0c,21,1755013687
0x0a19f4dbf704ac2126c7e68485bf4f08b51709a3,4,1763415559
0x0d3f6b35164c2a30eccfd785b6a1de41ddca8c0d,1,1755269574
0x0dbd10d51fa5017759f812d19925215346e01d35,2,1766261355
0x0f994a4e48af58ded61971db95f65b1932d0325b,1,1755269574
0x0fbc2dba30859b7fce4dcf299cce31cbea228b68,1,1755257386
0x105080d8583a0e7c4ae43f0ce3059459f0166ac5,1,1755269574
0x13c17632148556cddef4ef4df8812b95bbd7154b,10,1765453882
0x13e7b6ab46c2a3f12b1004d30e97f3ab3eb70845,20,1755013869
0x14a2539e2b6d37dc463d0485edf0f2db7eba6e2c,1,1755269574
0x1543b9f39e2be8b743854bd8ba2addfd0fa6150a,4,1755014032
0x156f5776fc53c60cce6ef024b6cbe436e3b084e7,2,1755257386
0x15ad8d0e31db3882de4c3cb251ccc89652916875,10,1755010972
0x15bf2c139f3d43e49e5a35e8a6b60d7c42b127aa,1,1755257386
0x16409e12b8fe00c1d02557791ee70f3702d6dd10,15,1755011916
0x1654f6e147077d1d724c9caf82f44451419f3638,20,1755339824
0x1744a586983fac4f8edfe0bb5d17d1e7e7115169,6,1755269574
0x1885020ab2b6f62860111f5bc2f3914c9989097d,1,1755269574
0x194a048085c53f74c4e146eaef0fc0c34d51ed60,6,1766261355
0x1a52b48ce1fa3e6fe94b7ba07e0e03d8f83964a8,2,1760608742
0x1afff7f90029eed5fc6114181b59b5af6610c44a,29,1755012662
0x1dda92dd565234569ac08a1780c4f440a72fa463,11,1755269574
0x1e20ab208b8657d2c83820e1fbd7522a135f4fed,4,1755013735
0x1fcd3bbb1b339299206758949f0605b832536f5a,1,1755269574
0x2011b6cfda48896398f35ecc106681b1880dc201,2,1763415559
0x209b46afa8af8182bdb6460ff3e45095e49e5d17,2,1766261355
0x222a1eecd62a815963e843ff48b10dcd62d0d520,1,1772974577
0x2260d9f2144134b1617d9d72701b06a8645512f5,52,1755011679
0x241b8b22c8a17440fc5b6a104ba67a69c0a1692e,20,1755014221
0x25ee149f2a04c4e9bbbb39ce35d80c0125158f3c,20,1769287889
0x265006a237449c62e8ea82ad3fd81b19360d32ef,20,1754993427
0x26ffd4745c5fec3dd027952e05360431131cdb7e,5,1760608742
0x27e6faf256e04900033eb06b3dc585c6233b3c4f,1,1757248224
0x2abdf940036769f12ad88a1e743feb7794f4562b,11,1754993240
0x2cd03537ef614c35f1864bd04d825901a0214481,1,1766936430
0x2d7305ada1eca11a7785380ac3d4e106068dd304,1,1755257386
0x2de0031845e5c36a85895b94ed35bea6eb5b6810,1,1755257386
0x2e19cd545c2c73e9166e5e51ba58679d987a3dce,2,1755257386
0x2e68deac5ae6ed298b382a3535f955ac5591e32f,41,1755012263
0x302b7927c217ec510c40a5ca54a3e74b55307b84,19,1772481162
0x30a50b594f4905b8528b63bf5efe454610a599be,2,1764720569
0x30ad600e19a79edc3bcb311b5992e5465664b6b0,4,1760608742
0x31178c800817b608d16c42f4cd5bd95e61d03784,1,1755257386
0x33115ce6d2d3d4dafb6c1d06c48600d619ddbc57,1,1755257386
0x332f1acc4dfe820de6c5ea8cac7815c9db6c6de3,2,1772495698
0x352641b8d1e11d6d529945fa944fd8ec356bf42a,1,1755257386
0x35dfcf1b7fa7b2e22ce45f4c564d63ad83581035,2,1754992794
0x38c5e8c078938284424a0faa13083f041285d551,1,1755257386
0x39dfe62dfef63275941e61b7c3e8a744b59bbd80,1,1766261355
0x3a23cafcca45e1a5cfef1fc66230d5357bd3ba31,1,1755269574
0x3d0fc424874cdc11fd2cf4f8e3dffd3719ce42a7,1,1755269574
0x3dcb8a1495f8dfa25f0d6ac2a257037dbedae0c3,1,1755257386
0x41146b330109b664ad8726ad64ddd46f7fa700ca,29,1755012539
0x41eb809069039846fe7f6d9cc32c21579ffdb2b2,8,1754993300
0x4212c35030b12cd49cbbdf92fbd829a21eeb4f88,1,1755269574
0x43e75d39e692b4a7aa9a9c5614fb40043dab5fde,4,1761479823
0x43ebfa9ef68f1d6ef23d80f910c0024671717571,2,1755014735
0x441f9b0ca9a6afdc155a2d6291cfff9d64cd361b,1,1755269574
0x443c4fde96054d7cc56f1c8b3419e4adb6d2ebea,4,1761837950
0x44dbadbcd2cd86511d3befb4f5e5ab65aa9482bf,2,1767699721
0x452d1935a951ad9b2544ef50345c5bbecb4d7428,3,1755269574
0x45a72b5ee8e6ce1605833a68d784d5f0c871866d,2,1754992987
0x46ecb601dbf316aef1f15d2371283912b36d888d,12,1755015538
0x4856c45b855105d916137b2ecddf6a0b279ceb12,20,1757248224
0x4887bd8c05f8d609c51a3ac1b451b80ecc54df90,4,1755257386
0x48b4df5531b49e8fe6dc1429ad008aa2707522d7,4,1763415559
0x48bf5dd38622b1d14fe278d115621248afc9073d,4,1754992363
0x48d10cff8f50ad83dc00f735f2e4e07d7b08e210,1,1755257386
0x491618a08e3c44a5cec89c680535049dab3805c8,2,1755821060
0x49575ffbe4ca523055189daa809aea66fd804e44,4,1757248224
0x4981bb7192fa9398233fcbdf773c0b23c7671072,5,1754992458
0x49a0ff4ac417e86a61e267e9a4c5c9b3c977e9ba,3,1755257386
0x4b06e67481eceff19417b03c8e44348f9ee54b98,4,1755269574
0x4ba73e01a9a95659dbf3757c046282d29c6211fd,4,1758572363
0x4bd9bb3915517b31f7cbb1615cf8fb8036f548ed,5,1761837950
0x4d77d4d899b925ca776b172f9aae2b70424dc667,1,1755257386
0x4f7f3392e079f08d7cade33b331e6bd8cabe36b4,1,1755257386
0x4fb22fe25c3e08e0d573c4904315f2bbd24429ac,1,1772481162
0x4fda58798cd046071152be68ad528a65fe0df4f3,1,1761837950
0x503ed5114a438def0a4a4a4bd26520370b06c739,1,1755257386
0x514f341cf70e898879a2b3ad489cb82f8c8b8084,3,1764720569
0x53119c03047cf6bb2df9a21b336bbdf27f79a41e,21,1755013803
0x531b2d529ab679a81724e9409db453ccb7c54cb2,1,1755257386
0x5328aa45dab0f44a566c987dd35746934283bfd8,21,1761837950
0x53b9811aa00da55e5212598deeb9ae1d6302e243,2,1763415559
0x544b22e7fb00c26b0ac9967cfd39351b15f939f9,1,1755269574
0x54eec69425f6384c09b939966ec476498dfcd67c,1,1769942613
0x552c8c854341eb2f347c97c7fc8ffb603c6cc059,1,1755269574
0x5683600012928f13ef05381621c4fcadccaf5a31,11,1755015185
0x57d6419c78022450d7cd5ac3c8fd2ee09e0da54b,4,1755015538
0x58aed31517d7e0397febba308c1039de82049f8f,4,1761837950
0x599ac8aae1871d494e2688f59337b031de98eb2f,3,1755257386
0x59b248f85fa17782ee10d8c0dca7004c69c92f32,10,1758572363
0x59d40887a2169b641c0aa89c263906b802745fff,8,1754993503
0x59e105d5d16d68bf283eba6e88f5484af1560f22,20,1755007967
0x5b42e4d69994436465d52616f11a62ef1280e1ac,1,1770581600
0x5df67393f632af114a2628f0deca68a100a621d1,21,1755015237
0x5e348a0be1a18cb30233cb67211109c1bb2033d0,20,1754994358
0x5ec1a175a8626c1da350e7f227f030bf3e1468cd,8,1755011077
0x5eebb65ebf0de94a4283588ed3dacf572b1f77e8,2,1772495698
0x5fb3fb87bb8b7e82371a222e3eae4d16f138b50d,3,1757248224
0x611f53a595c87422024119f233803367f168f4e6,1,1755257386
0x63677b4d06b05e1f33e897456aeb1f084733d732,1,1766247787
0x644532d747dd229355c7cf0eaee569aef1b63846,1,1755269574
0x64da381866c8cf572e51c1518c68e369587e0f23,4,1760608742
0x65bb88bca208887f72da7d01471308328d94b7b0,15,1755013991
0x697833182663c2a02a6edf03f1da59420658a167,2,1772495698
0x6a6fa850093d0d80a67c7e2eb5f13f808c22eb57,9,1755014600
0x6c8d73419302ec6329efb66f06c008d981719b34,4,1755012849
0x6d76895bb86caf0f0863a54ca501f7b7d3831418,10,1766936430
0x6d7d3ecfb94d68177846fde653d06664bf5b5205,4,1764720569
0x6e5e6941617903020da764a83af2c1e5c3c8a07a,2,1772495698
0x6e6adabc7b229fabd980bd21a9bd98bf3d771ac4,21,1755013616
0x6eb67d27c545b0b7e673cb4ad4d80be49474e926,4,1769287889
0x6fd9949f984d74d86feb361fe0436e694558b3cf,17,1755014816
0x6fee762299a87bd21cb3db37b9c9e9c2d3595278,4,1763415559
0x73a44a28719cc4cad003e1644f7194490937d71c,7,1761837950
0x742e3304ca61f3045b285ad3e2b02e0722fcb897,9,1760608742
0x749d5460776c268737130c592c800d14278cb09b,4,1754993563
0x775a1ce6c8863ba7d9383c03d1f6e5752f3a6e6c,1,1755257386
0x79732988545f312c35c58c141169469b72cd99fe,1,1755269574
0x79e1d2621795d93753996100af26c1dae9f939e6,1,1766936430
0x7a158a473bc59bf98a201cac4d544f5f9cd10aec,1,1755257386
0x7b12d0f20251fa1028def50cbbe3ee906aa093b0,10,1769287889
0x7b935a6dca43a34fb5fc555f566d693ece408bb7,4,1760608742
0x7bba5654a7d53290c7ebd2fdbae20f0146e3ed94,1,1758572363
0x7f8f5fc6ccbd0d9133018112c0d9413ca00f9286,4,1763415559
0x7f9a34dcfa39b53d2b10246fe9db29225a7cc7d1,1,1755269574
0x7ff15e6412e2f32644cdd8921627ba27c5a803fd,3,1766936430
0x80d389902339db34cb3eeb81384d3d272f691aa4,8,1755269574
0x82730a96098c8b615db829b37dad693fcbc1d20f,2,1754946377
0x831f0d03fb4a6a3c9c7d756055ca71e6e4a1c20f,4,1755015276
0x84e7edd78b0bb65a25fbcfc95ca61a25cb34d467,4,1755269574
0x8545fba34903ab26d89ac8c8fc7f0d70017f3788,20,1754993752
0x85d552d14a0d44baf0a945e26e78925bada32e00,1,1755269574
0x87ca336ed4ff4cb4899303887492c22b5eb728fb,5,1754992883
0x881bdf0a30eb89357fa7497a9558b0169041fe33,1,1755257386
0x88e1d9081f4cec910e21f60b020a67774a53fd35,3,1755014883
0x897b2a010e1490735b8a9108d9b07b2e2ba21e91,2,1754992421
0x8b782f492f4af4466cae1efc5f785892bdad40b8,20,1755015142
0x8c6a2ec69494a51a7a97acd1cb780df5b77afab0,1,1766261355
0x8d17bc0314305246c1edde765288fb008e1f0045,6,1755257386
0x8d1efa1bea4344497d2b7ddb25bd67a29fc1a110,5,1754947924
0x9028ebac3abe521a6dd24543c31e0c907c3c18f8,1,1755257386
0x90951abbbfd88dafacebdef609dff85ef88d6689,4,1754993818
0x90a2dbfa3a77f50a2c3818cc15e9e8f6613ffe06,1,1755269574
0x91bd1346bee0e4c4a0635b020e0c9411d52343b2,1,1755257386
0x9311dd24ce3e49edd7b4d0ccbd2021308f2ae7d6,4,1755269574
0x95147426d45574ff89d86d051db47a80791a030c,1,1772974577
0x959a59f8824107488400289adced431d2fcd3ed4,1,1755269574
0x96d9d3bd8414a87000915b05a27ce85fc0c08a7c,1,1755257386
0x98ea14a6f41763ebc606fb1a159a00f2db994b75,4,1769287889
0x9b34f89800da24a88dec341d4377b85fef79f6d2,4,1758572363
0x9c6918b10f0ccbe0c40506f1b884a6ec2e6b0232,53,1754948062
0x9d1b3c6f7c157a2c939b598389c5173d805d8858,4,1767699721
0x9da6e7d575ca01ec0fa297455b5185b0b646bc7f,21,1755012344
0x9e3d8e34c4ce8e0a9bfab44ebb839f9373073ea9,4,1761837950
0x9e4afbadb62ba79c7779cb808f0332fced03e214,9,1755269574
0x9edd7031f8672893e3423131b0dba218e858d18a,1,1755257386
0xa1bca557569f685ff6570d06f524296b36cffb3e,16,1755013950
0xa1f174fabebd68f91df395d43d0b69562b07794f,1,1755269574
0xa40d3249b03162286f0d1cb40a286d93b5dcf0e9,1,1755257386
0xa480e8335adc53452a53a86fbbc3414e05de154e,1,1755257386
0xa51faf35996faa1fb772d082780481372d280282,2,1770581600
0xa57ba69235d0df6ea780066b8b289339995c5454,2,1766261355
0xa58552d80c45c5cea6dd540f9b26e73895a8f3fc,1,1755269574
0xa601db85ed81fc4969e0f550140114b46395d7fe,1,1755012740
0xa60d293da55ee63caa24cb6613c728749c8eb4d6,1,1772974577
0xa618b448a6ad8ded802d6b8bffe42be2a8b87e20,1,1755269574
0xa63756f3a4dd49efd31f096b0f8b751f40d08068,1,1755257386
0xa8f604ca4c9f61c0aa31c1daaee8d72130ef4ae7,21,1755012088
0xaa820205df777801827a4c4693fe36b3162e6511,1,1755257386
0xab9985cdba189d1df34b75e25804a27f7e7dd286,15,1755011027
0xad4ba3bc20453cc151e7f1507352c088a09fd8dd,1,1755257386
0xada9e06342c33e1d47ccdde21bd091e83c977601,2,1758572363
0xaef39ed5d1ed026396aefe66e2250156fa393c1e,1,1755257386
0xb162ba84ba46ef395e51120ad0814ebb0da8cff0,20,1754993166
0xb1c492ad284a8688653859e5f43c1159d2802c26,1,1755269574
0xb2088651ee6874d00ee4f07e9762eeaeaad96be6,20,1755012308
0xb3b8553dd4303fcec2e5891721e20924c525f3d6,1,1755269574
0xb47211153b185a6a7ef3ca872ae0cff4d06a350b,1,1755269574
0xb49b8516f5bc1fa5c7eba382da61f37e5fa52f91,1,1755257386
0xb5c5512f401438c6c00066e32ad61f5bb4004a12,1,1755015538
0xb729de06f1dc85a37ab6ba1fe75192332d807181,4,1760608742
0xb87db7103a313295e8df01133da125d5a2a02e5e,20,1754947704
0xb8c1c5e8d7a500f3aa11abc7a09dcd92480b32dd,1,1755269574
0xb97043d3c1a6e9005a4cc75ad5fa6fe92df1f0d0,1,1755269574
0xbbd3bb02bf1b791a371d60a194a9b5dd55e3c8ea,1,1755269574
0xbc514255e030ed368d18a8c03c8d25bb2586d3ae,2,1769287889
0xbe0b8f52df1c08b1aac97b5857560418d2c36212,2,1755257386
0xbe490baa539678f187d412d3c36c65b9a7158a1c,4,1761479823
0xbe5dba3bab4d32370a639c8c2c42c5b39d5d1c28,1,1755269574
0xbf4040af17aaecf1b1251703df6a5c4e31264f38,1,1755269574
0xc083a93f24168392b327f7d504ae45519661fd29,1,1755257386
0xc0cc6ccbd6431650cfd9e7fa4a8247d8906c2f80,20,1765453882
0xc172dd1e33b5c5fd55f7ed00fe096a968bab622a,1,1755269574
0xc1782b650ce01f721f355b31e336036db150f097,1,1755269574
0xc1b366b6fbcda89cd4eabe012119c7f03588c776,20,1754994060
0xc1c33204e0f446c9a52859b49dbc92e4613fbc2a,4,1758572363
0xc214bf9a1843b0991b3c2ab3a342554b4bbf8e6c,124,1754994163
0xc223d351d4bf2ccaf06461d873bebcaccea09736,1,1755269574
0xc28331b186fbb7b1e31f08b124d875aa93f5f541,1,1755269574
0xc2f88a854b8b6584b15210a0edd5d55d0ed231ec,82,1755012497
0xc341ce875a4368e7a08d3c916176809c093b934c,20,1757248224
0xc369949e4fec0456c1dd6f0e82f8d2589bb897cc,1,1755015538
0xc48828c77ab0997851f575c281cf139a01eca73f,5,1766936430
0xc4dcd016adfc791a2a84c265492605f69ff6a17d,2,1764720569
0xc51d5d3c0be5978641dee77109ca33b31bf56503,1,1755269574
0xc63bd63b226a5e8195318d9fc201ca79bc7e5c76,2,1755257386
0xc73cd55e836268501ddb374d9b6b038bb36b7da0,4,1760608742
0xc84b2c77be878923c5c6e10a414e9e715d3eec99,1,1755257386
0xc8aa7e230013706cdf9d2c936b003302070153b8,2,1766261355
0xc8ee65a41285e6bcc40040e614f5a1c6ed7dc0ab,1,1755257386
0xc98e3ac7e3182753de93f666b86b80dcbb9b7966,1,1755257386
0xc9993bee4f3a9fc89f4395880e7ad40a415f3e53,11,1761837950
0xcbc1391bd53f134bd51d7662eac222d5bc88ffa2,10,1770581600
0xcc3af968417e17d7ba75ebf93c5f12d1da26ff59,1,1755269574
0xcdff0778e1e491f0ff0ecfeb41a06e9dd7ffded6,3,1760608742
0xcf7deafce795a19277a3818781054ab478b8c6bb,1,1755257386
0xd03b616efc0a6f81ce2a7fc1c5af63057da317b5,10,1755339824
0xd2cdf397f2ec6b8634686d23711d88c6dc360a84,15,1755257386
0xd305f361ad9fd50ae4f033ae48f342a20f566a8b,9,1755257386
0xd77a39b9fb90e46c8659c245ef8c37db486467f6,1,1766261355
0xd84d1ce34236031062f6072bfecc0fb3b93ad8ba,20,1757248224
0xd8949a4e28d68f5cd2e24ace935f7128b0fbf0fd,7,1755012584
0xd959bf1d916ea1a5ef4e47206fdd651d6754c9ff,20,1755821060
0xda3925a50a0b05123ff2ea3d684c1039938484a8,1,1771148987
0xdb655eb624e3cda167a512c6aa7c762ec2dde6bd,21,1755014522
0xdcd6840f257fe494cc16450a92a003b67ef7ea5e,11,1755012424
0xdd2897932c4d54df720ebbbd22364d3928aefe90,1,1755269574
0xddd5a6a133936a51f27a74d32b8665b242439ce1,6,1755269574
0xde6a44dc27992d0b0ec0565548973bc4b779a007,41,1755011107
0xde77ef5b1fddec6fc79c67f809cd3c680c1f1c7e,1,1755257386
0xdedad029f13962b974632aa860191b450328eb6b,164,1755012039
0xe0398bee4c586dd42359775496f98906bb848bf1,2,1754949356
0xe1402cc4607bbebd19eaca258dcb2b0318d826cd,1,1755269574
0xe2cf429c51a97055bc9327ba0d1bd89c1b15858e,1,1771148987
0xe2dbf83c02391c9eecc93384e6428d04f2ff887e,1,1755269574
0xe4164b3fb0079db0bd9addbc3110e6302a07ac0c,4,1755821060
0xe4583300a6475719ad2e6fe8500babc7802237f6,6,1767699721
0xe6182c5fd0575ac150c775b82ccfe1485ae4fa5f,1,1772495698
0xe851f3907fc519f023d7b887377b64a3ca0e3f26,5,1761837950
0xe8d5ebb23b0056b2421f013dfec2bb4a9a534220,2,1755015347
0xe93d80ffa648720c6bf2647c76c4860786a689f0,1,1755269574
0xeb036a5b64da9146b9d4e1be2eab692685bb7a2b,11,1760608742
0xee18034b21109bc2e3ea75c1595e15387f90d1e7,1,1755269574
0xeefa030a5cf1099e47616ca5fce8b83f65a84d7f,20,1760608742
0xf24c69e7c0c691c0c34debb1900bda7c4d57ac96,2,1766247787
0xf2c9512c4ca751d0fca03c64b1447263ed7a45d8,1,1755257386
0xf31839743799a97292c2c87d566fa5160dd3e0fd,1,1755257386
0xf3b464fca8beb887b051f3bc45f4f3164ff465fc,9,1755013410
0xf4fb7e861884c21e612efd0d6b63099955bc54df,1,1755269574
0xf5f307af8017b1822789b7e5a8db337d8b2de061,1,1755269574
0xf62d5c650f21099a3cbcc5902509499e2d987284,1,1755257386
0xf68603ebeb4bd60b3e9f76dc62047d69b052a5e4,5,1760608742
0xf73ba896b5980bbbe2cc0f43ccf2d4e8c61a28e8,1,1755257386
0xf815c544859b1050633c399cfaa6e4bcc6a9909c,1,1755269574
0xf8d1a15360d5d1a77e409736bd0cb9d38b23dbd0,1,1755269574
0xf9ab601416558e170311e95d83aea09dd837a434,3,1769287889
0xfb373dfb88a71c48d1c29e7ece21a92da051302b,2,1769287889
0xfc4436cfc1c3c48450bb44e27a1e9eb06b7e3d4f,30,1755257386
0xfc4eb7bc2a129a2cb9745b4d85c4735e28403f56,4,1755011983
0xfd1e11ea9458bf6ac0472e4a674906cfd958952b,39,1755011395
0xfed8deb751a1da5537b1721f9ec5944d34c2b635,1,1755269574